State,Reporting Company,Payment Type,Entity Name,Value (USD)
Utah,Crescent Point Energy Corp.,Royalties,STATE OF UTAH,437603
Utah,Crescent Point Energy Corp.,Royalties,UTE INDIAN TRIBE,6058550
Utah,Crescent Point Energy Corp.,Taxes,DUSCHESNE COUNTY,158442
Utah,Crescent Point Energy Corp.,Taxes,STATE OF UTAH,4066697
Utah,Crescent Point Energy Corp.,Taxes,UINTAH COUNTY,2105025
Utah,Crescent Point Energy Corp.,Taxes,UTE INDIAN TRIBE,1637242
Utah,Energy Fuels Inc,Fees,"Utah Division of Oil, Gas and Mining",7544
Utah,Energy Fuels Inc,Fees,"Utah Division of Oil, Gas and Mining",7544
Utah,Energy Fuels Inc,Fees,Utah Division of Radiation Control,113173
Utah,Energy Fuels Inc,Fees,Utah Division of Radiation Control,113173
Utah,Energy Fuels Inc,Fees,Utah Trust Lands Administration,143352
Utah,Energy Fuels Inc,Fees,Utah Trust Lands Administration,143352
Utah,Energy Fuels Inc,Taxes,"San Juan County, Utah",407424
Utah,Energy Fuels Inc,Taxes,"San Juan County, Utah",407424
Utah,Graymont Limited,Royalties,"Trust Lands Administration, Utah",377244
Utah,Graymont Limited,Taxes,"Millard County Treasurer, Utah",2097480
Utah,Graymont Limited,Taxes,"Utah State Tax Commission, Utah",264071
Utah,Rio Tinto PLC,Fees,SALT LAKE COUNTY (UTAH),43365463
Utah,Rio Tinto PLC,Fees,UTAH GOVERNMENT,141711
Utah,Rio Tinto PLC,Royalties,UTAH GOVERNMENT,6005283
Utah,TriMetals Mining Inc.,Fees,State of Utah,60000
Washington,BP P.L.C.,Royalties,Washington Department of Revenue,349356
Washington,Kinross Gold Corporation,Fees,State of Washington,240000
Washington,Kinross Gold Corporation,Taxes,Ferry County,190000
Washington,Kinross Gold Corporation,Taxes,Okanogan County,540000
Washington,Kinross Gold Corporation,Taxes,State of Washington,380000
Washington,Teck Resources Limited,Royalties,State of Washington,543232
Washington,Teck Resources Limited,Taxes,City of Pend Oreille,286705
Washington,TransAlta Corporation,Fees,Washington State,129571
Washington,TransAlta Corporation,Taxes,Washington State,40026
Wisconsin,Source Energy Services US LP,Bonuses,"Barron County, Wisconsin",256526
Wisconsin,Source Energy Services US LP,Taxes,"Barron County, Wisconsin",203712
Wisconsin,Source Energy Services US LP,Taxes,"Rusk County, Wisconsin",354610
Wyoming,BP P.L.C.,Royalties,State of Wyoming,831455
Wyoming,BP P.L.C.,Taxes,State of Wyoming,13336343
Wyoming,CNOOC Limited,Taxes,State of Wyoming,3852823
Wyoming,Cameco Corporation,Fees,Government of Wyoming,263316
Wyoming,Cameco Corporation,Royalties,Government of Wyoming,774860
Wyoming,Cameco Corporation,Taxes,Campbell County,780142
Wyoming,Cameco Corporation,Taxes,Converse County,2261959
Wyoming,Encana Corporation,Royalties,State of Wyoming,3970000
Wyoming,Encana Corporation,Taxes,Fremont County,3710000
Wyoming,Encana Corporation,Taxes,Natrona County,340000
Wyoming,Encana Corporation,Taxes,Shoshone and Arapaho Tribes,590000
Wyoming,Encana Corporation,Taxes,State of Wyoming,470000
Wyoming,Encana Corporation,Taxes,Sublette County,9980000
Wyoming,Energy Fuels Inc,Fees,Wyoming Office of State Lands,30179
Wyoming,Energy Fuels Inc,Fees,Wyoming Office of State Lands,30179
Wyoming,Energy Fuels Inc,Taxes,"Johnson County, Wyoming",1169458
Wyoming,Energy Fuels Inc,Taxes,"Johnson County, Wyoming",1169458
Wyoming,Energy Fuels Inc,Taxes,Wyoming Department of Revenue,384789
Wyoming,Energy Fuels Inc,Taxes,Wyoming Department of Revenue,384789
Wyoming,ROYAL DUTCH SHELL PLC,Taxes,STATE OF WYOMING,8461187
Wyoming,Ur-Energy Inc.,Fees,Carbon County Wyoming,295
Wyoming,Ur-Energy Inc.,Fees,Fremont County Wyoming,69
Wyoming,Ur-Energy Inc.,Fees,State of Wyoming,15862
Wyoming,Ur-Energy Inc.,Fees,"Sweetwater County, Wyoming",285
Wyoming,Ur-Energy Inc.,Taxes,Carbon County Wyoming,3471
Wyoming,Ur-Energy Inc.,Taxes,Fremont County Wyoming,223
Wyoming,Ur-Energy Inc.,Taxes,State of Wyoming,618576
Wyoming,Ur-Energy Inc.,Taxes,"Sweetwater County, Wyoming",1447498
Wyoming,Uranium One Inc.,Fees,Wyoming Office of State Lands & Investments,135808
Wyoming,Uranium One Inc.,Taxes,Campbell County Treasurer,105628
Wyoming,Uranium One Inc.,Taxes,Johnson County Treasurer,633771
Wyoming,Vermilion Energy Inc.,Fees,State of Wyoming,331975
Wyoming,Vermilion Energy Inc.,Royalties,State of Wyoming,301795
,Baytex Energy Corp.,Taxes,Various counties,4632565
,Eurasian Minerals Inc.,Fees,County Recorder (Various),10799
,Eurasian Minerals Inc.,Fees,Secretary of State (Various),1084
,ROYAL DUTCH SHELL PLC,Fees,COMMISSIONER OF THE GENERAL LAND,203100
,ROYAL DUTCH SHELL PLC,Fees,"DIRECTOR, DIVISION OF OIL AND GAS",243408
,Rye Patch Gold Corp.,Fees,State Emergency Response Commission,3772
